CMPD_CHEMBLID,exp,smiles
CHEMBL544970,15.2,Cl.CSCCNCc1cc2cc(sc2s1)S(=O)(=O)N
CHEMBL544032,5.04,Cl.NS(=O)(=O)c1cc2cc(CNCCF)sc2s1
CHEMBL296560,-0.55,[I-].C[N+](C)(C)CCS\\C(=N/O)\\C(=O)c1ccc(Br)cc1
CHEMBL555477,2.32,Cl.CN(C)CCS\\C(=N/O)\\C(=O)c1cccc2ccccc12
CHEMBL53349,-0.74,CN(C)CCc1c[nH]c2ccc(Cn3ccnc3C)cc12
CHEMBL50837,-0.7,CN(C)CCc1c[nH]c2ccc(Cn3ccnn3)cc12
CHEMBL539258,0.55,Cl.CS(=O)(=O)CCNCc1cc2cc(sc2s1)S(=O)(=O)N
CHEMBL39243,-0.67,CN(C)CCc1c[nH]c2ccc(Cc3onc(N)n3)cc12
CHEMBL550,-0.15,CC[C@H]1[C@@H](Cc2cncn2C)COC1=O
CHEMBL57267,0.57,CN(C)c1ccc(cc1)c2sc3cc(C)ccc3[n+]2C
CHEMBL277474,0.6,CN1N(C(=O)C=C1C)c2ccccc2
CHEMBL277474,0.6,CN1N(C(=O)C=C1C)c2ccccc2
CHEMBL277474,0.6,CN1N(C(=O)C=C1C)c2ccccc2
CHEMBL332697,3,COc1cc(\\C=C\\C(=O)N2CCC(CC2)n3c(O)nc4ccccc34)c(cc1OC)[N+](=O)[O-]
CHEMBL324170,3.1,[O-][N+](=O)c1cc2OCOc2cc1COC(=O)N3CCC4(CC3)N(CNC4=O)c5ccccc5
CHEMBL177902,3.52,CC[C@@H]([C@H](CO)Cc1cncn1C)C(=O)OCc2ccc(cc2)C(C)(C)C
CHEMBL324257,3.4,O=C(OCc1ccc2nsnc2c1)N3CCC4(CC3)N(CNC4=O)c5ccccc5
CHEMBL326538,4,O=C(OCc1cccc(Oc2ccccc2)c1)N3CCC4(CC3)N(CNC4=O)c5ccccc5
CHEMBL324297,2.4,Oc1nc2ccccc2n1C3CCN(Cc4cc5OCOc5cc4[N+](=O)[O-])CC3
CHEMBL115229,2.9,Oc1nc2ccccc2n1C3=CCN(Cc4cc5OCOc5cc4[N+](=O)[O-])CC3
CHEMBL114716,0.047,N\\C(=N/c1ccc(CCCCO)cc1)\\Nc2ccc(CCCCO)cc2
CHEMBL115444,4.2,Oc1nc2ccccc2n1C3CCN(CC3)C(=O)OCc4cc5OCOc5cc4Cl
CHEMBL324471,3,COc1cc(\\C=C\\C(=O)N2CCC3(CC2)N(CNC3=O)c4ccccc4)c(cc1OC)[N+](=O)[O-]
CHEMBL81602,0.7,Cc1ccc(NC(=N)Nc2ccc(C)cc2)cc1
CHEMBL109210,4.1,CCCCc1ccc(NC(=N)Nc2ccc(CCCC)cc2)cc1
CHEMBL420863,2.6,Cc1ccc2nc(O)n(C3CCN(Cc4cc5OCOc5cc4Cl)CC3)c2c1
CHEMBL114280,1.8,Oc1nc2ccccc2n1CCCNCc3cc4OCOc4cc3Cl
